TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-04-28,SAINSBURYS 2019,1008721,EXP - PERMANENT UK STAFF - ALLOWANCES,4
2016-04-28,RADISSON BLU HOTEL CAR,10085820, OTHER TRAVEL,2.2
2016-04-28,AMAZON UK MARKETPLACE,10085820,Other Accommodaation costs,1.65
2016-04-28,OYSTER AUTOTOPUP,10085370, OTHER TRAVEL,20
2016-04-28,POST OFFICE COUNTER,10085150,POSTAGE,2.06
2016-04-27,LAL QUILA,10085150,SUBSISTENCE,74.75
2016-04-27,LADY ANNE MIDDELTONS H,10085150, OTHER TRAVEL,19.95
2016-04-27,WP-OPERATIONAL RES,10085460,Subscriptions to pro bodies,120
2016-04-27,AMAZON EU,10085820,COMPUTER HARDWARE,9.48
2016-04-28,AMAZON UK MARKETPLACE,10085820,COMPUTER HARDWARE,2.88
2016-04-27,THE SAVILLE GROUP,10085820,PROGRAMME EXPENDITURE,735.6
2016-04-27,APCOA PARKING (UK) LTD,10085452, OTHER TRAVEL,9.2
2016-04-27,LADY ANNE MIDDELTONS H,10085150,SUBSISTENCE,9.95
2016-04-27,LADY ANNE MIDDELTONS H,10085150,SUBSISTENCE,19.9
2016-04-26,APCOA - OFF STREET,10085110,OTHER TRAVEL,4.2
2016-04-26,TESCO STORES-2124,10085150,SUBSISTENCE,4.9
2016-04-26,SHL GROUP LTD,10085520,Recruitment,118.2
2016-04-26,BCS SUBSCRIPTIONS,10085541,MEMBERSHIP OF ORGANISATIONS,108.8
2016-04-26,TRANSLINK WEB PAYMENTS,10085820, RAIL TRAVEL,34
2016-04-26,TRANSLINK WEB PAYMENTS,10085820, RAIL TRAVEL,34
2016-04-26,AMAZON UK MARKETPLACE,10085820,STATIONERY,12.38
2016-04-25,AMAZON EU,10085452,TRAINING & DEVELOPMENT,45
2016-04-25,WWW.CUTTINGEDGESERVICE,10085350,PROTECTIVE CLOTHING,57.08
2016-04-25,AMAZON UK MARKETPLACE,10085820,STATIONERY,16.25
2016-04-25,INST FOOD SCIENCE & TE,10085411,MEMBERSHIP OF ORGANISATIONS,164
2016-04-25,AMAZON UK MARKETPLACE,10085541,ICT COSTS,27.98
2016-04-22,PANOPOLIS AIRSIDE,10085820,SUBSISTENCE,21.3
2016-04-23,OYSTER AUTOTOPUP,10085452, OTHER TRAVEL,20
2016-04-24,STK SHUTTERSTOCK.COM,10085250,OTHER ICT COSTS,32
2016-04-22,AMAZON MKTPLACE PMTS,10085350,PROTECTIVE CLOTHING,263.84
2016-04-22,WWW.FLSUK.CO.UK,10085350,SAMPLE COLLECTION EQUIP / CONSUMABLES,124.8
2016-04-21,ALL STAR STRATFORD,10085820,SUBSISTENCE,45
2016-04-22,AMAZON EU,10085452,TRAINING & DEVELOPMENT,95
2016-04-22,PAYPAL  CAMPDENBRIC,10085820, TRAINING & DEVELOPMENT,474
2016-04-23,APPLE ONLINE STORE GBP,10085541, ICT COSTS - COMPUTER HARDWARE,613.95
2016-04-22,DISCLOSURE SCOT,10085580,Recruitment,25
2016-04-22,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-04-22,WWW.FLSUK.CO.UK,10085350,SAMPLE COLLECTION EQUIP / CONSUMABLES,124.8
2016-04-20,CLOUDFLARE,10085250,COMPUTER SOFTWARE,142.63
2016-04-21,PARK INN YORK,10085510, OTHER TRAVEL,12
2016-04-21,PREGO,10085412,subsistence,9.75
2016-04-21,POST OFFICE COUNTER,10085150,POSTAGE,6.6
2016-04-21,APCOA PARKING (UK) LTD,10085452,OTHER TRAVEL,9.2
2016-04-21,AMAZON UK MARKETPLACE,10085350,PROTECTIVE CLOTHING,25.66
2016-04-21,APCOA PARKING (UK) LTD,10085452,OTHER TRAVEL,9.2
2016-04-20,DELRIO`S,10085510,Subsistence,155.08
2016-04-21,WWWDAIRYCOUNCILCOUK,10085820, TRAINING & DEVELOPMENT,25
2016-04-21,AMAZON EU,10085721,PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,-51.49
2016-04-20,AMAZON UK MARKETPLACE,10085820,STATIONERY,13.98
2016-04-20,M&S SIMPLY FOOD - SSP,10085412,subsistence,6
2016-04-20,WAGAMAMA,10085820,SUBSISTENCE,35
2016-04-20,WWW.CIPS.ORG,10085530,MEMBERSHIP OF ORGANISATIONS,178.5
2016-04-20,WWW.ROYALMAIL.COM,10085370,POSTAGE,100
2016-04-20,L ESPRIT DE SEL,10085412,subsistence,15.45
2016-04-20,OYSTER AUTOTOPUP,10085110,OTHER TRAVEL,20
2016-04-20,TASTE OF PARADISE,10085150,SUBSISTENCE,16.4
2016-04-19,THE VOLUNTEER INN,10085460,Subsistence,180
2016-04-19,WWW.OFCOM.ORG.UK,10085543,OTHER FACILTIES COSTS - SECURITY,75
2016-04-19,PAYPAL  CONFIDALIAE,10085550,TRAINING & DEVELOPMENT,124.79
2016-04-19,MARKS&SPENCER PLC,10085150,SUBSISTENCE,4.3
2016-04-19,AMAZON UK MARKETPLACE,10085460,PROGRAMME EXPENDITURE,81.24
2016-04-19,RADISSON BLU HOTEL BEL,10085820, OTHER TRAVEL,9.75
2016-04-19,F P EXECUTIVE AGENCY L,10085543,POSTAGE,139.2
2016-04-19,POST OFFICE COUNTER,10085150,POSTAGE,3.95
2016-04-19,PUBLIC SECTOR CONNECT,10085452,TRAINING & DEVELOPMENT,192
2016-04-19,SAINSBURYS 2019,10085120,CATERING & HOSPITALITY,1.9
2016-04-19,APCOA - OFF STREET,10085110, OTHER TRAVEL,4.1
2016-04-18,WWW.IOSH.CO.UK,10085520,Membership of Organisations,133
2016-04-18,PAYPAL  CONFIDALIAE,10085460,OTHER PROFESSIONAL SERVICES,217.49
2016-04-18,POST OFFICE COUNTER,10085150,POSTAGE,2.37
2016-04-18,APCOA - OFF STREET,10085452,OTHER TRAVEL,4.2
2016-04-15,MCDONALDS,10085150,SUBSISTENCE,4.69
2016-04-15,PAYPAL  CONFIDALIAE,10085820, TRAINING & DEVELOPMENT,331.98
2016-04-15,CIEH,10085330,Expense,129
2016-04-15,AMAZON EU,10085820,COMPUTER HARDWARE,154.74
2016-04-15,PRET A MANGER,10085820,SUBSISTENCE,3.4
2016-04-15,W M MORRISON PLC,10085150,SUBSISTENCE,3.97
2016-04-15,SAINSBURYS SACAT 2019,10085820,SUBSISTENCE,3
2016-04-14,SPARKOL,10085721,IT hardware/software purchases,21.6
2016-04-14,AMAZON UK MARKETPLACE,10085460,STATIONERY,-45.72
2016-04-14,KEYBOARD SPECIALIS,10085460,OTHER PROFESSIONAL SERVICES,75.73
2016-04-14,BENNYS,10085820, CATERING & HOSPITALITY,72
2016-04-14,SHL GROUP LTD,10085520,Recruitment,472.8
2016-04-14,SPAGHETTI HOUSE LT,10085721,subsistence,88.4
2016-04-14,OYSTER AUTOTOPUP,10085510,OTHER TRAVEL,20
2016-04-14,OYSTER AUTOTOPUP,10085452, OTHER TRAVEL,20
2016-04-14,VALE OF GLAMORGAN,10085722,SUBSISTENCE,56.1
2016-04-14,UPPER CRUST,10085544,SUBSISTENCE,6.43
2016-04-14,TESCO STORES 3063,1008721,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - STATIONERY,10
2016-04-14,EAT,10085721,subsistence,7.53
2016-04-14,MOBILE WINDSCREENS,10085350,POSTAGE,75
2016-04-14,Q PARK THE LIGHT,10085150, OTHER TRAVEL,10
2016-04-14,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-04-13,APCOA PARKING (UK) LTD,10085452,OTHER TRAVEL,18.2
2016-04-13,APCOA - OFF STREET,10085452,OTHER TRAVEL,4.2
2016-04-13,MISKIN ARMS,10085722,SUBSISTENCE,57.15
2016-04-13,PRET A MANGER,10085411,SUBSISTENCE,2.69
2016-04-13,COSTA COFFEE,10085411,SUBSISTENCE,7.35
2016-04-13,AMAZON UK MARKETPLACE,10085350,STATIONERY,138
2016-04-13,WWW.INTELLIGENTCORPORA,10085820,Eyesight Testing,125
2016-04-13,APCOA PARKING (UK) LTD,10085530,OTHER TRAVEL,9
2016-04-13,AMAZON EU,10085350,STATIONERY,86.98
2016-04-13,SHL GROUP LTD,10085520,Recruitment,118.2
2016-04-12,VALE OF GLAMORGAN,10085722,SUBSISTENCE,5.95
2016-04-12,APCOA PARKING (UK) LTD,10085530,OTHER TRAVEL,9
2016-04-12,WWW.PRET.COM,10085460,subsistence,18.95
2016-04-12,THE ANSWER CENTRE,10085541,TELECOMS - TELEPHONE,540.54
2016-04-12,WWW.VIKING-DIRECT.CO.U,10085460,STATIONERY,143.88
2016-04-12,OPEN UNIVERSITY,10085820, TRAINING & DEVELOPMENT,893
2016-04-12,POST OFFICE COUNTER,10085150,POSTAGE,3.95
2016-04-12,SCOTT TRAVEL MANAGEMEN,10085460, OTHER TRAVEL,443
2016-04-12,WWW.RCVS.ORG.UK/COLLEG,10085820,MEMBERSHIP OF ORGANISATIONS,299
2016-04-12,VALE OF GLAMORGAN,10085722,SUBSISTENCE,52.7
2016-04-12,AMAZON UK MARKETPLACE,10085541, ICT COSTS - COMPUTER HARDWARE,429.99
2016-04-11,AMAZON UK MARKETPLACE,10085721,PROGRAMME EXPENDITURE,14.9
2016-04-11,AMAZON UK MARKETPLACE,10085541,ICT COSTS,9.99
2016-04-11,VALE OF GLAMORGAN,10085722,SUBSISTENCE,50.7
2016-04-11,AMAZON EU,10085721,PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,51.49
2016-04-11,POST OFFICE COUNTER,10085150,POSTAGE,2.64
2016-04-11,EIGHT SOUTH RESTAURANT,10085820, CATERING & HOSPITALITY,27.3
2016-04-11,MARKS&SPENCER PLC,10085721,subsistence,13.3
2016-04-11,POST OFFICE COUNTER,10085150,POSTAGE,4.45
2016-04-11,POST OFFICE COUNTER,10085150,POSTAGE,7.68
2016-04-11,WWW.CIPS.ORG,10085530,Membership of Organisations,178.5
2016-04-07,PARK HOTELS MANAGEMENT,10085510,Subsistence,52.25
2016-04-08,INDEPENDENT NEWS & MED,10085820,PROGRAMME EXPENDITURE,900
2016-04-08,POST OFFICE COUNTER,10085150,POSTAGE,3.19
2016-04-08,WWW.PRET.COM,10085460,Hospitality,45.34
2016-04-09,CUSTOMER THERMOMETER,10085580,Miscellaneous,19.14
2016-04-09,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-04-07,WWW.BDA.UK.COM,10085820,MEMBERSHIP OF ORGANISATIONS,298
2016-04-08,INDEPENDENT NEWS & MED,10085820,PROGRAMME EXPENDITURE,979.2
2016-04-08,OYSTER AUTOTOPUP,10085452, OTHER TRAVEL,20
2016-04-08,VIENNA HOUSE DIPLOMAT,10085210,Actual Bed and breakfast costs,213.32
2016-04-07,THE FARMERS CLUB,10085120, SUBSISTENCE: Accommodation,113
2016-04-06,REDACTIVE,10085510,Staff trining Region & HQ Admin,834
2016-04-07,THE FARMERS CLUB,10085120, SUBSISTENCE: Accommodation,145
2016-04-07,APCOA - OFF STREET,10085452,OTHER TRAVEL,4.2
2016-04-07,WWW.IOSH.CO.UK,10085520,Membership of Organisations,100
2016-04-07,CIEH,10085820,Training & Development,129
2016-04-07,ARGOS LTD,10085150,ICT COSTS,19.98
2016-04-07,ENTERPRISE RENT-A-C,10085460,VEHICLE HIRE,79.96
2016-04-07,POST OFFICE COUNTER,10085150,POSTAGE,2.37
2016-04-07,HEALTH & CARE PROFESSI,10085820,MEMBERSHIP OF ORGANISATIONS,180
2016-04-07,POST OFFICE COUNTER,10085150,POSTAGE,3.26
2016-04-05,TRANSLINK WEB PAYMENTS,10085820, RAIL TRAVEL,17.5
2016-04-06,APCOA - OFF STREET,10085452,OTHER TRAVEL,4.2
2016-04-05,TRANSLINK WEB PAYMENTS,10085820, RAIL TRAVEL,22.5
2016-04-06,MCDONALDS,10085150,SUBSISTENCE,4.99
2016-04-05,GINO MY RESTAURANT,10085510,Subsistence,233.97
2016-04-06,NCP LIMITED,10085150, OTHER TRAVEL,15.38
2016-04-06,AMAZON UK MARKETPLACE,10085460,PROGRAMME EXPENDITURE,45.72
2016-04-05,STRADA HEATHROW,10085210,Subsistence 24 hour subsistence,15.25
2016-04-05,SAINSBURYS SACAT 4053,10085544,SUBSISTENCE,6.6
2016-04-05,APCOA PARKING (UK) LTD,10085530,OTHER TRAVEL,9
2016-04-05,WWW/REED.CO.UK,10085520,Recruitment,210
2016-04-04,WWW.PRET.COM,10085210,SUBSISTENCE,164.65
2016-04-04,PATISSERIE VALERIE,10085210,SUBSISTENCE,4.4
2016-04-04,WWW.SFAM.ORG.UK,10085210,SUBSCRIPTION TO PRO BODIES,130
2016-04-04,WWW.PRET.COM,10085210,SUBSISTENCE,125.75
2016-04-01,ARGOS LTD,10085150,ICT COSTS,29.97
2016-04-03,OYSTER AUTOTOPUP,10085120, OTHER TRAVEL,20
