TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-04-03,AWS EMEA,775.3,8448473501
2019-04-03,AMZNMKTPLACE AMAZON.CO,587.5,8448022059
2019-04-12,ENERGIA,595.23,8455819969
2019-04-15,PAYPAL  PLOT LONDON,4200,8463416963
2019-04-16,PRODUCTPLAN.COM,738.67,8468180201
2019-04-17,CAPITA BUS SVS-MOTO,1167.6,8472881583
2019-04-17,GLOBAL INSIGHT CONFERE,1025.71,8472881587
2019-04-24,TRINITY MIRROR PUBLISH,1260,8497678989
2019-04-25,RBI INVOICE PAYMENTS,2040,8497678997
2019-04-25,UNIVERSITY OF YORK,900,8503264471
2019-04-26,CAPITA BUS SVS-MOTO,1751.4,8510149595
2019-04-26,PAYPAL  CIPR,750,8510149597
