TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-08-30,THE POST OFFICE,10085150,POSTAGE,3.95
2016-08-30,SAFESTORE LIMITED,10085721,OTHER FACILITIES COSTS,460.86
2016-08-30,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,61.5
2016-08-30,PARK INN BELFAST,10085820,Actual Bed and breakfast costs,314
2016-08-30,CUSTOMER THERMOMETER,10085510,COMPUTER SOFTWARE,34.76
2016-08-30,APCOA PARKING (UK) LTD,10085530,OTHER TRAVEL,9
2016-08-30,WWW.RSS.ORG.UK,10085460,MEMBERSHIP OF ORGANISATIONS,195
2016-08-30,AMAZON UK MARKETPLACE,10085541,ICT ,22.95
2016-08-30,PAYPAL  HUMANESLAUG,10085460,MEMBERSHIP OF ORGANISATIONS,90
2016-08-30,CHARTERED INS OF,10085820,MEMBERSHIP OF ORGANISATIONS,30
2016-08-29,AMAZON UK RETAIL AMAZO,10085370,MISCELLANEOUS EXPENDITURE,104.62
2016-08-26,E HAVLIN AND SONS BELF,10085820,ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,18
2016-08-28,AMAZON UK MARKETPLACE,10085370,MISCELLANEOUS EXPENDITURE,59.99
2016-08-26,AMAZON EU,10085370,MISCELLANEOUS EXPENDITURE,127.59
2016-08-25,WCPC YORK,10085721,SUBSISTENCE,5.9
2016-08-24,AMTRAK .C 2370724025338,10085460,RAIL TRAVEL,268.48
2016-08-25,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-08-25,AMAZON UK MARKETPLACE,10085541,ICT ,21.87
2016-08-25,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-08-25,OYSTER AUTOTOPUP,10085530,OTHER TRAVEL,20
2016-08-25,TRAVEL INSURANCE POLIC,10085460,PERSONNEL RELATED,21.01
2016-08-25,OYSTER AUTOTOPUP,10085370,OTHER TRAVEL,20
2016-08-24,TASTE OF PARADISE,10085150,SUBSISTENCE,18.6
2016-08-24,WWW.CIPS.ORG,10085721,MEMBERSHIP OF ORGANISATIONS,127.5
2016-08-24,PIZZA EXPRESS,10085721,SUBSISTENCE,20.05
2016-08-24,USCUSTOMS ESTA APPL PM,10085460,PERSONNEL RELATED,10.95
2016-08-24,OYSTER BUS AUTOTOP,10085370,OTHER TRAVEL,20
2016-08-24,WWW.PUBLICPOLICYEXCHAN,10085460,MEMBERSHIP OF ORGANISATIONS,379.2
2016-08-24,AMAZON UK MARKETPLACE,10085820,Other Accommodation costs,15.54
2016-08-23,ANNESLEY HOUSE HOTEL,10085150,SUBSISTENCE,18.95
