TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-08-03,AWS EMEA,877.97,7270858904
2020-08-07,GALLEON SUPPLIES L,1058.4,9148537463
2020-08-07,HYDRA INTERNATIONAL,1945,9148537465
2020-08-07,SGS UNITED KINGDOM LIM,1560,9149009131
2020-08-12,LEACH S,1602,9156260515
2020-08-14,TETROSYL LTD,2250,9166629245
2020-08-16,APPLE STORE R410,757,9167210189
2020-08-21,INCLUSIVEEM,2394,7284048700
2020-08-25,WWW.ALLIESCOMPUTING.CO,984,7288995820
2020-08-25,INFRAGISTICS.COM,1116,7292006682
2020-08-26,CIPD INTEGRA,2045,7292006690
2020-08-27,LOGMEIN GOTOMEETING,2736,7295602806
