TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-12-03,TIMES NEWSPAPERS LTD,10085250,Subscriptions to pro bodies,26
2017-12-13,PIKTOCHART,10085250,Computer Hardware/Software,22.42
2017-12-19,AMAZON EU,10085250,Stationery,15
2017-12-22,WILLIAM REED BUSINESS,10085250,Subscriptions to pro bodies,126
2017-12-29,JOHN LEWIS,10085250,Computer Hardware/Software,1857.93
2017-12-01,GWR READING GATES,10085150,Travel UK Other Travel,20.6
2017-12-01,POD,10085150,Subsis day time meal allowance,4.88
2017-12-08,POST OFFICE COUNTER,10085150,Postal Charges,7.8
2017-12-11,POST OFFICE COUNTER,10085150,Postal Charges,16.85
2017-12-16,WH SMITH,10085150,Stationery,19.57
2017-12-20,AMAZON SVCS EU-UK AMAZ,10085150,Computer Consumables,75.9
2017-12-02,SURVEYMONKEY.COM,10085250,Subscriptions to pro bodies,280
2017-12-20,CLOUDFLARE,10085545,Project Programme Expenditure,154.4
2017-12-07,AMAZON EU,10085150,Computer Consumables,47.98
2017-12-13,POST OFFICE COUNTER,10085150,Postal Charges,6.15
2017-12-14,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2017-12-19,ARGOS LTD,10085150,Computer Hardware/Software,44.99
2017-12-28,POST OFFICE COUNTER,10085150,Postal Charges,12.98
2017-12-28,SHELL & WAITROSE,10085150,Computer Consumables,49.5
2017-12-14,BREWERS FAYRE 41519200,10085150,Subsistence 24 hour subsistence,25
2017-12-18,POST OFFICE COUNTER,10085150,Postal Charges,3.9
2017-12-20,WAGAMAMA HOLBORN,10085150,Subsistence 24 hour subsistence,96
2017-12-22,POST OFFICE COUNTER,10085150,Postal Charges,3.9
2017-12-05,BULL HOTEL,10085820,Subsistence 24 hour subsistence,24
2017-12-05,EXPRESS ONBOARD,10085820,Rail Travel,22
2017-12-06,JOLLY SCOTMAN,10085820,Subsistence 24 hour subsistence,23.96
2017-12-07,HMSHOST EAST MIDLANDS,10085820,Subsistence 24 hour subsistence,12.5
2017-12-11,LUL TICKET MACHINE,10085820,Travel UK Taxi/Bus/Tube,50
2017-12-11,ROCK AND SOLE PLAICE (,10085820,Subsistence 24 hour subsistence,12.5
2017-12-12,EAT 1539,10085820,Subsistence 24 hour subsistence,11.19
2017-12-05,TRANSLINK WEB PAYMENTS,10085820,Rail Travel,8.99
2017-12-13,FOX AND ANCHOR,10085370,Subsistence 24 hour subsistence,45
2017-12-02,OYSTER AUTOTOPUP,10085510,Travel UK Taxi/Bus/Tube,20
2017-12-05,WWW.CIMAGLOBAL.COM,10085510,Staff training: Region & HQ Admin,110
2017-12-09,CUSTOMER THERMOMETER,10085510,Incidental expenses,20.12
2017-12-13,WWW.CIMAGLOBAL.COM,10085510,Staff training: Region & HQ Admin,278
2017-12-30,CUSTOMER THERMOMETER,10085510,Incidental expenses,33.81
2017-12-02,GOOGLE  SVCSAPPS_FSA-E,10085541,IT Software Licences,62.7
2017-12-25,MSFT  <E04004XL01>,10085541,IT Software Licences,360.96
2017-12-27,WWW.BOOKINGBUG.COM,10085541,IT Software Licences,59.94
2017-12-05,SURVEYMONKEY.COM,10085721,Project Programme Expenditure,24
2017-12-12,3119 ARAMARK CAFE,10085721,Subsis day time meal allowance,4.3
2017-12-12,UPPER CRUST,10085721,Subsis day time meal allowance,9.14
2017-12-06,CUSTOMER THERMOMETER,10085520,Incidental expenses,6.24
2017-12-09,OYSTER AUTOTOPUP,10085520,Travel UK Taxi/Bus/Tube,20
2017-12-11,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-14,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-14,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-15,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-21,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-27,HMRC WORTHING AR,10085520,Recruitment & advertising charges,180
2017-12-29,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-29,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-12-05,TAXI FARE BY VERIFONE,10085330,Travel UK Taxi/Bus/Tube,13.2
2017-12-06,CARTRIDGEPEOPLE.COM,10085330,Stationery,34.98
2017-12-11,TAXI FARE BY VERIFONE,10085330,Travel UK Taxi/Bus/Tube,7.4
2017-12-13,SUMUP   HECKNEY CARRIA,10085330,Travel UK Taxi/Bus/Tube,39
2017-12-13,TAXI FARE BY VERIFONE,10085330,Travel UK Taxi/Bus/Tube,6.6
2017-12-08,DIAMOND CHAUFFEUR HIRE,10085510,Travel UK Taxi/Bus/Tube,38.76
2017-12-11,LEEDS TAXI OWNERS LTD,10085510,Travel UK Taxi/Bus/Tube,439.9
2017-12-12,WWW.CIMAGLOBAL.COM,10085510,Subscriptions to pro bodies,278
2017-12-09,AMAZON EU AMAZON.CO.UK,10085347,Computer Consumables,48.37
2017-12-12,ACCA,10085550,Subscriptions to pro bodies,236
2017-12-12,INST.OF CHARTERD ACCOU,10085550,Subscriptions to pro bodies,365
2017-12-05,COSTA,10085332,Subsis day time meal allowance,5.9
2017-12-05,ITSU 063 NEAL STREET,10085332,Subsistence 24 hour subsistence,11.95
2017-12-06,SAINSBURYS SACAT 2019,10085332,Subsis day time meal allowance,4.75
2017-12-06,EAT,10085332,Subsis day time meal allowance,3.95
2017-12-06,CO-OP GROUP FOOD,10085332,Subsistence 24 hour subsistence,11.64
2017-12-07,S R EXPRESS LTD -82777,10085332,Subsistence 24 hour subsistence,4.99
2017-12-07,SAINSBURYS SACAT 2019,10085332,Subsis day time meal allowance,4.75
2017-12-08,EAT,10085332,Subsis day time meal allowance,7.05
2017-12-08,SAINSBURYS SACAT 2019,10085332,Subsis day time meal allowance,5.5
2017-12-12,BOOTS 1521,10085332,Subsis day time meal allowance,4.64
2017-12-12,ITSU 020 GRT QUEEN ST,10085332,Subsistence 24 hour subsistence,13.35
2017-12-13,TRAVELODGE,10085332,Subsistence 24 hour subsistence,10.9
2017-12-13,SAINSBURYS SACAT 2019,10085332,Subsis day time meal allowance,5.25
2017-12-13,EAT,10085332,Subsis day time meal allowance,5.5
2017-12-14,EAT,10085332,Subsistence 24 hour subsistence,5.5
2017-12-14,SAINSBURYS SACAT 2019,10085332,Subsis day time meal allowance,4.65
2017-12-19,TRANSLINK WEB PAYMENTS,10085332,Rail Travel,22.5
2017-12-13,LUL TICKET MACHINE,10085820,Travel UK Taxi/Bus/Tube,50
2017-12-01,OYSTER BUS AUTOTOP,10085120,Travel UK Taxi/Bus/Tube,20
2017-12-02,OYSTER AUTOTOPUP,10085110,Travel UK Taxi/Bus/Tube,20
2017-12-06,SAINSBURYS SACAT 2019,10085460,Stationery,7.2
2017-12-09,OYSTER AUTOTOPUP,10085150,Travel UK Taxi/Bus/Tube,20
2017-12-04,THE GIBSON HOTEL RECEP,10085411,EC Incidental Allowance,5.91
2017-12-03,AMAZON WEB SERVICES,10085544,IT Software Licences,21.13
2017-12-18,WWW.KPMG.CO.UK,10085544,Staff training: Corp Strategy,1928.4
2017-12-18,BIOTECTS LTD,10085543,Other Accommodation Costs,63
2017-12-14,LISVANE STORES,10085721,Stationery,35.55
2017-12-31,FACEBK  3D68VEE9E2,10085721,Recruitment & advertising charges,37.35
2017-12-06,INSTITUTE OF PUBLIC,10085332,Project Programme Expenditure,393.15
