TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-12-03,AWS EMEA,858.43,6810766234
2019-12-05,PAYPAL  HENPICKED,1080,6821640964
2019-12-09,LSR TRAINING AND DEVEL,954,6837703860
2019-12-10,LSR TRAINING AND DEVEL,894,6842741572
2019-12-11,AMZNMKTPLACE,4040.92,6848587730
2019-12-12,ENERGIA,636.1,6854326024
2019-12-13,AMZNMKTPLACE,3199.98,6863238108
2019-12-13,AMZNMKTPLACE AMAZON.CO,3534,6863238096
2019-12-13,AMZNMKTPLACE AMAZON.CO,4799.97,6863238102
2019-12-16,IVY MARKET GRILL PDR (,750,6870042684
2019-12-20,CAPITA BUS SVS-MOTO,736.16,6892077172
2019-12-23,STATIONERY OFFICE BOOK,958,6897454938
2019-12-23,STATIONERY OFFICE BOOK,958,6897454942
2019-12-23,PAYPAL  CAMPDENBRIC,1392,6897292676
