TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-02-06,WWW.CONSSULTATIONI,10085250,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,234
2017-02-09,THE MARKETING SOCI,10085250,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,300
2017-02-22,WWW.CIPR.CO.UK,10085250,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,576
2017-02-07,W M MORRISONS CAFE,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.4
2017-02-09,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.79
2017-02-09,NCP LTD,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,9
2017-02-09,SEVERN RIVER CROSSIN P,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.7
2017-02-23,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,17.48
2017-02-24,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.59
2017-02-27,SUBWAY,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,3.6
2017-02-20,CLOUDFLARE,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,165.73
2017-02-02,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-02,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-02,U F A W,10085370,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,590
2017-02-05,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-06,USCUSTOMS ESTA APPL PM,10085370,EXP - PURCHASE OF GOODS/SERVICES -  FOREIGN AIR TRAVEL,11.59
2017-02-09,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-10,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-10,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-11,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-13,HYGIENA INTERNATIONAL,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SAMPLE COLLECTION EQUIP / CONSUMABLES,9.16
2017-02-14,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,32.74
2017-02-14,BIRMINGHAMTELECOM,10085370,EXP - PURCHASE OF GOODS/SERVICES - TELECOMS,43.12
2017-02-16,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,26.32
2017-02-21,DETECTAMET LTD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,470.4
2017-02-21,POLYBAGS LTD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SAMPLE COLLECTION EQUIP / CONSUMABLES,186.92
2017-02-22,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,148.74
2017-02-23,AHVLA,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SAMPLE COLLECTION EQUIP / CONSUMABLES,1.96
2017-02-23,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,61.9
2017-02-23,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,74.74
2017-02-23,DETECTAMET LTD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,95.52
2017-02-23,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-23,WWW.FLSUK.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,124.8
2017-02-24,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-02-24,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
