TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-02-03,AWS EMEA,732.31,6175041016
2019-02-06,IMPRESS PRINT SERVICES,648,6190638188
2019-02-07,EML LEARNING LTD,1788,6196085792
2019-02-07,ANDERSON SPRATT GROUP,1708.11,6196085802
2019-02-08,EISTEDDFOD CYMRU,1248,6203762098
2019-02-12,WILLIAM-REED,720,6215230818
2019-02-13,FULPRINT LTD,2419.95,6219739294
2019-02-14,ENERGIA,827.22,6225022020
2019-02-15,AMZ LAPTOPS DIRECT,592.87,8313062153
2019-02-18,QLIKTECH INC,503,8319571291
2019-02-18,EVENIUM,1137.19,8319767455
2019-02-19,SPACEBASE,1009.01,8323779583
2019-02-19,EVENIUM,1136.53,8323779581
2019-02-22,BX2019 EVENT,3000,8340616933
2019-02-22,WWW.RSS.ORG.UK,608.4,8340616935
2019-02-25,BROOKS AND KIRK,535,8347877371
2019-02-26,ACUITY TRAINING LTD,608.26,8353967503
