TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-01-19,APPLE STORE R245,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,2668.84
2017-01-20,WEST END DJ LTD,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,4992
2017-01-21,WILLIAM REED BUSINESS,10085250,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,104.76
2017-01-24,CURRYS ONLINE,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,74.95
2017-01-30,WWW.THE-SRA.ORG.UK,10085250,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED - MEMBERSHIP OF ORGANISATIONS,84
2017-01-05,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.79
2017-01-05,NCP LIMITED,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,12
2017-01-05,SEVERN RIVER CROSSIN P,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.7
2017-01-10,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,7.68
2017-01-30,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,10.88
2017-01-31,MCDONALD'S,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.59
2017-01-20,CLOUDFLARE,10085545,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,167.65
2017-01-03,MR J OLDROYD CAFE LUCA,10085370,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,187.5
2017-01-03,NATIONAL RAILCARD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,30
2017-01-04,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,107.94
2017-01-06,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-09,EVENIUM,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER FACILITIES COSTS  - MEETING ROOM HIRE,837.57
2017-01-09,TFL CC AUTO PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,10.5
2017-01-10,HILTON,10085370,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,1137.5
2017-01-12,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-13,AMAZON EU,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,154.69
2017-01-16,WWW.WIPEDIRECT.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SAMPLE COLLECTION EQUIP / CONSUMABLES,52.98
2017-01-18,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-19,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,100
2017-01-19,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,50
2017-01-19,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,30
2017-01-19,TEKNOMEK INDUSTRIE,10085370,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,520.8
2017-01-21,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-21,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-25,AHVLA,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER - SAMPLE COLLECTION EQUIP / CONSUMABLES,1340.6
2017-01-25,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-26,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-26,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2017-01-27,CURRYS ONLINE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,1152
2017-01-27,JESSOPS,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,218.93
2017-01-27,REALLY USEFUL PROD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,69.68
