TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-01-03,AWS EMEA,610.73,8200328535
2019-01-04,PAYPAL  DOCTORSNETU,598.8,8204308229
2019-01-08,APPLE KIOSK GBP,2354,8213822919
2019-01-11,CIVIL SERVICE LEARNING,2037.37,8229511513
2019-01-11,CIVIL SERVICE LEARNING,2037.37,8229511515
2019-01-11,LIVEGROUP.CO.UK,546,8230263925
2019-01-14,ENERGIA,747.84,8236455539
2019-01-18,QLIKTECH INC,503.11,8257398439
2019-01-22,EVENIUM,1145.4,8268315979
2019-01-23,FLOGAS NATURAL GAS LTD,653.28,8272694481
2019-01-24,WWW.LGC.CO.UK,1704,8277998515
2019-01-28,WWW.RWAS.WALES.CO.,1263.36,8292305939
2019-01-28,WWW.NEOPOST.CO.UK,1000,8292305921
2019-01-29,E.ON ENERGY SOLUTIONS,853.54,8296290969
2019-01-30,PAYPAL  DOCKSMEDIA,992.16,8306684885
2019-01-31,THE FARMERS CLUB,1206.5,8307030853
