TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-07-04,NEW SCIENTIST,10085520,Recruitment & advertising charges,2400
2018-07-19,U OF M ACCT REC OL,10085340,Conference & meeting facilities,616.31
2018-07-30,WPY SPE COURSES,10085520,Staff training: Region & HQ Admin,500
2018-07-31,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,534
2018-07-31,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,912
2018-07-03,HMCOURTS-SERVICE.G,10085150,Legal expenses - FSA,2000
2018-07-17,WWW.THEODI.ORG,10085544,Subscriptions to pro bodies,2640
2018-07-02,PAYPAL  HOTELS.COM,10085350,Actual Bed and breakfast costs,540.84
2018-07-03,ROYAL SOCIETY FOR,10085350,Staff training: Corp Strategy,1575
2018-07-08,HOTELS.COM149796295838,10085350,Actual Bed and breakfast costs,722.2
2018-07-25,DRI QLIKTECH  INC,10085510,IT Software Licences,678.07
2018-07-17,ENERGIA,10085820,Utilities,649.17
