TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-07-01,FIRST INTUITION,655,6456483956
2019-07-03,AWS EMEA,797.12,6465676764
2019-07-03,WWW.ICO.ORG.UK,2900,6465676770
2019-07-04,MEMSOURCE,1811.57,6469143808
2019-07-05,CURRYS ONLINE,1497,6473558224
2019-07-05,ROYAL MAIL GROUP LTD,944.4,6473558242
2019-07-08,HOUSE OF COMMONS,500,6478849608
2019-07-08,W A PRODUCTS UK,1255.16,6478849604
2019-07-08,W A PRODUCTS UK,2000,6478849600
2019-07-08,W A PRODUCTS UK,2000,6478849602
2019-07-08,BELFAST TELEGRAPH,840,6478486430
2019-07-09,WWW.QUALSAFE.COM,992.4,6482750028
2019-07-09,NCP LTD SSN TCKTS,1378.36,6482380660
2019-07-11,FEEDINFO 2018 EVENT,1905.73,6492325446
2019-07-12,ASCOT MANOTEL SA (JADE,2434.71,6500440718
2019-07-12,ASCOT MANOTEL SA (JADE,2114.48,6500440722
2019-07-15,EISTEDDFOD CYMRU,1248,6516148954
2019-07-16,MYCSP LTD,1440,6510793558
2019-07-16,PAYPAL  OPENDATAINS,897.55,6511130482
2019-07-17,WWW.THEODI.ORG,2640,6516525278
2019-07-22,CIVIL SERVICE COLLEGE,1428,6536084616
2019-07-22,PAYPAL  HEALTHMATTE,1980,6536084648
2019-07-22,GITHUB.COM,991.81,6536084608
2019-07-23,LLOYDS REGISTER,2034,6540140170
2019-07-23,WWW.WESTMINSTER-BRIEFI,588,6540140162
2019-07-23,SOMERCOURT LTD,806.22,6540551686
2019-07-23,GBP PENTON PUBLICATION,1668,6540140204
2019-07-26,EGRESS SWITCH,600,6558273798
2019-07-26,DIOXIN2019,689.41,6558273822
2019-07-30,EB  DIVERSITY AMP INCL,640.18,6568684458
