TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-06-29,APCOA - OFF STREET,10085110,OTHER TRAVEL: car parking,4.2
2016-06-29,POSTERN GATE,10085346,Subsistence,13.34
2016-06-29,STK SHUTTERSTOCK.COM,10085250,ICT Costs,32
2016-06-29,PRET A MANGER,10085721,Subsistence,6.05
2016-06-29,AMAZON UK MARKETPLACE,10085350,MEAT INSPECTION EQUIPMENT / CONSUMABLES,38.7
2016-06-29,GO METRO GARE DU MIDI,10085412,Other Travel,11.86
2016-06-29,DELICE DE FRANCE,10085721,Subsistence,5.99
2016-06-29,WYRE FOREST D C CAR PA,10085150,Subsistence,10
2016-06-29,M&S SIMPLY FOOD - SSP,10085412,Subsistence,7.24
2016-06-29,PENNY BLACK,10085150,Subsistence,17.08
2016-06-28,MUMBAI LOUNGE,10085346,Subsistence,49.7
2016-06-28,OYSTER BUS AUTOSET,10085350,Other Travel,20
2016-06-28,THE SOCIETY OF BIOLOGY,10085210,Membership of Organisations,174
2016-06-28,NU RESTAURANT GMBH,10085410,Subsistence,9.98
2016-06-28,AMAZON UK MARKETPLACE,10085541,ICT Costs,24.95
2016-06-28,THE KINMEL HOTEL LIMIT,10085722,Subsistence,25
2016-06-28,TRANSLINK WEB PAYMENTS,10085820,Travel,68
2016-06-28,WWW.OFFICEFURNITUREONL,10085330,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,265.2
2016-06-28,TRANSLINK WEB PAYMENTS,10085820,Travel,34
2016-06-28,EAT,10085120,CATERING & HOSPITALITY,4.57
2016-06-27,SAFESTORE LIMITED,10085721,EXP - PURCHASE OF GOODS/SERVICES - OTHER,460.86
2016-06-27,PAYPAL  CAMPDENBRIC,10085721,OTHER PROFESSIONAL SERVICES,180
2016-06-27,OYSTER BUS AUTOSET,10085510,Other Travel,20
2016-06-24,SURVEYMONKEY.COM,10085721,PROFESSIONAL SERVICES,24
2016-06-27,PREMIERMEETINGS.CO.UK,10085150,MEETING ROOM HIRE,70.8
2016-06-27,APCOA PARKING (UK) LTD,10085530,Other Travel,9
2016-06-27,AMAZON UK MARKETPLACE,10085370,MEAT INSPECTION EQUIPMENT / CONSUMABLES,28.39
2016-06-27,HEMMING GROUP LTD,10085330,EXP - PURCHASE OF GOODS/SERVICES - OTHER,3060
2016-06-26,N.H. NACIONAL,10085460,Actual Bed and breakfast costs,247.36
2016-06-26,RENFE,10085410,Other Travel,2.17
2016-06-24,OYSTER AUTOTOPUP,10085350,Other Travel,20
2016-06-25,AMAZON UK MARKETPLACE,10085350,MEAT INSPECTION EQUIPMENT / CONSUMABLES,31.96
2016-06-25,OYSTER AUTOTOPUP,10085530,Other Travel,20
2016-06-24,BOCAITO,10085410,Subsistence,19.33
2016-06-23,POLYBAGS LTD,10085350,MEAT INSPECTION EQUIPMENT / CONSUMABLES,309.57
2016-06-23,TVLICENSING.CO.UK,10085543,ACCOMM & BLDNG MGMT - SHARED SITE RECHARGE,145.5
2016-06-25,OYSTER AUTOTOPUP,10085350,Other Travel,20
2016-06-24,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-24,OYSTER AUTOTOPUP,10085370,Other Travel,20
2016-06-23,GASTROLETRAS S.L.,10085410,Subsistence,18.08
2016-06-24,THE POST OFFICE,10085150,Postage,3.95
2016-06-24,POST OFFICE COUNTER,10085150,Postage,2.06
