TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-06-01,WWW.TACHPRO.COM,697.5,7198497740
2020-06-01,WWW.TACHPRO.COM,1395,7198497744
2020-06-01,ARTICULATE GLOBAL INC,4340.19,7198715162
2020-06-02,LEACH S,2036.25,7200885242
2020-06-03,AWS EMEA,880.4,7203493146
2020-06-05,MEMSOURCE,1818.04,9092855645
2020-06-05,APM,610,9092855573
2020-06-08,LEACH S,1022.1,9095782349
2020-06-08,LEACH S,958.25,9095782353
2020-06-09,HOUSE OF COMMONS,500,9098110265
2020-06-12,LEACH S,2594.4,9106325321
2020-06-15,BIONATIVA LTD,576.2,9109307025
2020-06-17,FULPRINT LTD,556.8,9114276147
2020-06-23,ACT NOW TRAINING LIMIT,933.6,7214349778
2020-06-24,THIS IS DO  THIS IS DO,746.5,7216880012
2020-06-29,LEACH S,856.25,7225363004
2020-06-29,WWW.ALLIESCOMPUTING.CO,984,7225547764
2020-06-30,WWW.ICO.ORG.UK,2900,7228400010
