TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-03-01,WWW.CONNECTPA.CO.UK,10085250,Staff training: Region & HQ Admin,480
2017-03-03,ESCAPE LIVE LTD,10085250,Staff training: Region & HQ Admin,340
2017-03-14,AZO PRINT LTD,10085250,Project Programme Expenditure,150
2017-03-20,AZO PRINT LTD,10085250,Project Programme Expenditure,55.2
2017-03-23,IZ  CROWN BLUE ARR,10085250,Travel UK Taxi/Bus/Tube,84
2017-03-24,IZ  CROWN BLUE ARR,10085250,Travel UK Taxi/Bus/Tube,68
2017-03-28,SNAPPY SNAPS LTD,10085250,Incidental expenses,10
2017-03-03,POST OFFICE COUNTER,10085150,Postal Charges,9.6
2017-03-08,THE BULL AUBERGE L,10085150,Subsistence 24 hour subsistence,25
2017-03-13,POST OFFICE COUNTER,10085150,Postal Charges,7.68
2017-03-13,POST OFFICE COUNTER,10085150,Postal Charges,2.06
2017-03-14,POST OFFICE COUNTER,10085150,Postal Charges,6.6
2017-03-15,MCDONALDS,10085150,Subsis day time meal allowance,4.89
2017-03-20,HEATH COURT HOTEL,10085150,Subsistence 24 hour subsistence,19.05
2017-03-21,SAINSBURYS 0559,10085150,Subsis day time meal allowance,4.55
2017-03-23,POST OFFICE COUNTER,10085150,Postal Charges,4.45
2017-03-27,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-03-30,POST OFFICE COUNTER,10085150,Postal Charges,4.4
2017-03-08,PAYPAL  SEIRETTOLTD,10085545,Project Programme Expenditure,213.6
2017-03-14,FSPRG.COM NNGROUP.COM,10085545,Project Programme Expenditure,413.95
2017-03-20,CLOUDFLARE,10085545,Project Programme Expenditure,166.55
2017-03-20,MYFONTS,10085545,Project Programme Expenditure,512
2017-03-01,BREWERS FAYRE 41516365,10085150,Postal Charges,19.77
2017-03-08,BREWERS FAYRE 41516365,10085150,Subsistence 24 hour subsistence,18.53
2017-03-10,Q PARK THE SHAMBLES,10085150,Travel UK Other Travel,5
2017-03-13,THE POST OFFICE,10085150,Postal Charges,1.74
2017-03-16,THE POST OFFICE,10085150,Postal Charges,3.19
2017-03-20,THE POST OFFICE,10085150,Postal Charges,3.95
2017-03-30,POST OFFICE COUNTER,10085150,Postal Charges,3.62
2017-03-10,UOM STORE,10085211,Conference & meeting facilities,60
2017-03-01,COSMO CAR PARK,10085250,Subsis incidental personal expens,14.99
2017-03-02,NANDOS HOLBORN,10085250,Subsis incidental personal expens,15.65
2017-03-02,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-03-02,STARBUCKS,10085250,Subsis incidental personal expens,4.9
2017-03-03,GOOD START LTD,10085250,Subsis incidental personal expens,4
2017-03-03,LEON KINGSWAY,10085250,Subsis incidental personal expens,6.25
2017-03-03,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-03-08,NIRAILWAYS CENTRAL,10085250,Subsis incidental personal expens,30
2017-03-10,IRISH RAIL,10085250,Subsis incidental personal expens,36.07
2017-03-15,WWW.BELFASTAIRPORT.COM,10085250,Subsis incidental personal expens,25
2017-03-16,STARBUCKS,10085250,Subsis incidental personal expens,4.2
2017-03-16,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-03-16,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-03-16,LUL TICKET MACHINE,10085250,Subsis incidental personal expens,30
2017-03-16,LEON KINGSWAY,10085250,Subsis incidental personal expens,4.75
2017-03-21,AFFILIATES 70  WHI,10085250,Subsis incidental personal expens,4.87
2017-03-21,AUTOGRILL CATERING UK,10085250,Subsis incidental personal expens,5.15
2017-03-21,GIRAFFE 1779,10085250,Subsis incidental personal expens,11.95
2017-03-23,ADOBE  CREATIVE CLOUD,10085250,Computer Hardware/Software,2124
2017-03-24,ADOBE  PS CREATIVE CLD,10085250,Computer Hardware/Software,303.36
2017-03-27,WWW.BELFASTAIRPORT.COM,10085250,Subsis incidental personal expens,27.99
2017-03-28,THE PRINCIPAL YORK,10085250,Subsis incidental personal expens,15
2017-03-28,PP YORKTAXI37,10085250,Subsis incidental personal expens,6.18
2017-03-28,NANDOS CARDIFF,10085250,Subsis incidental personal expens,12.7
2017-03-28,GWR BRISTOL TM TO,10085250,Subsis incidental personal expens,12.9
2017-03-28,GWR BRISTOL PW GATE,10085250,Subsis incidental personal expens,-115.7
2017-03-28,GWR BRISTOL PW GATE,10085250,Subsis incidental personal expens,115.7
2017-03-28,GWR BRISTOL PW GATE,10085250,Subsis incidental personal expens,115.7
2017-03-28,FIRST BRISTOL - BRISTO,10085250,Subsis incidental personal expens,7
2017-03-28,ARRIVA TRAINS WALE,10085250,Subsis incidental personal expens,11.2
2017-03-29,PIZZA EXPRESS,10085250,Subsis incidental personal expens,13
2017-03-29,VIRGINTRAINSEC YRK STN,10085250,Subsis incidental personal expens,56.5
2017-03-29,YORK KING SQ,10085250,Subsis incidental personal expens,8.6
2017-03-30,WAGAMAMA,10085250,Subsis incidental personal expens,14.5
