TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-03-01,WWW.WESTMINSTER-BRIEFI,882,8370717043
2019-03-02,AWS EMEA,713.09,8371436039
2019-03-04,CAPITA BUS SVS-MOTO,1167.6,8378492027
2019-03-04,BROOKS AND KIRK,535,8378492021
2019-03-05,PURPLESPACE LIMITED,1947,8382430279
2019-03-06,WWW.JOHNLEWIS.COM,1312.87,8388146323
2019-03-06,WWW.CHINESEVISADIRECT.,870,8388400209
2019-03-06,DATA SOLUTIONS 201,936,8388146289
2019-03-07,PURPLESPACE LIMITED,1947,8393673307
2019-03-11,WINE & SPIRIT EDU,799,6239823736
2019-03-12,PALISADE EUROPE UK,2388,6244131018
2019-03-13,PUBLIC ANALYST SCIENTI,675,6249573454
2019-03-14,BROOKS AND KIRK,535,6254757002
2019-03-15,WEST END DJ LTD,4900,6262647430
2019-03-19,WEST END DJ LTD,1238.96,6273947104
2019-03-19,HAYMARKET MEDIA GROUP,1194,6273683910
2019-03-20,CREATIVE VIDEO PRODUCT,1178.4,6279121206
2019-03-21,TAMESIDE METROPOLITAN,1500,6284655628
2019-03-23,ADOBE  CREATIVE CLOUD,2427.36,8401595217
2019-03-25,HANDS FREE COMPUTING,1075.2,8408514335
2019-03-26,REDFRONT,1006.1,8412862703
2019-03-27,FLOGAS NATURAL GAS LTD,801.96,8418556749
2019-03-28,WALSALL COUNCIL,500.16,8423612693
2019-03-28,INST FOOD SCIENCE & TE,1573.2,8423407821
2019-03-29,ORCHARD (VR-EXP,2400,8431541187
2019-03-29,TRIUMPH FURNITURE LTD,3568.33,8431541185
2019-03-29,AOAC INTERNATIONAL,792.91,8431541159
2019-03-30,LOGMEIN GOTOMEETING,3420,8432269539
