TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-05-09,WWW.DODONLINE.CO.UK,10085250,Subscriptions to pro bodies,195
2017-05-11,AZO PRINT LTD,10085250,Printing & binding,356.9
2017-05-12,THE FINANCIAL TIMES,10085250,Subscriptions to pro bodies,278.2
2017-05-18,PAYPAL  CIPR,10085250,Project Programme Expenditure,276
2017-05-25,STK SHUTTERSTOCK.COM,10085250,Stationery,145
2017-05-02,MCDONALDS,10085150,Subsis day time meal allowance,4.89
2017-05-04,POST OFFICE COUNTER,10085150,Postal Charges,12.2
2017-05-10,MCDONALDS,10085150,Subsis day time meal allowance,4.89
2017-05-11,POST OFFICE COUNTER,10085150,Postal Charges,7.8
2017-05-18,SEVERN RIVER CROSSIN P,10085150,Travel UK Other Travel,6.7
2017-05-18,MCDONALDS,10085150,Subsis day time meal allowance,4.79
2017-05-25,POST OFFICE COUNTER,10085150,Postal Charges,6.5
2017-05-20,CLOUDFLARE,10085545,Project Programme Expenditure,158.7
2017-05-05,POST OFFICE COUNTER,10085150,Postal Charges,2.08
2017-05-08,BHATTI RESTAURANT,10085150,Subsistence 24 hour subsistence,75
2017-05-22,FRANKIE & BENNYS 5949,10085150,Subsistence 24 hour subsistence,25
2017-05-23,UNION SQUARE CAR PARK,10085150,Travel UK Other Travel,16
2017-05-24,THE POST OFFICE,10085150,Postal Charges,2.4
2017-05-25,THE POST OFFICE,10085150,Postal Charges,4.4
2017-05-06,MINIBUD KFT.,10085211,"Taxi, Bus, Tube",13.75
2017-05-06,MINIBUD KFT.,10085211,"Taxi, Bus, Tube",18.13
2017-05-30,TOURVEST-BA FOOD/,10085211,Other Travel,10.4
2017-05-04,MI CASA,10085250,Subsis incidental personal expens,8.98
2017-05-04,TRAINLINE,10085250,Subsis incidental personal expens,16.01
2017-05-04,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-05-10,EAT,10085250,Subsis incidental personal expens,5.74
2017-05-10,WAGAMAMA HOLBORN,10085250,Subsis incidental personal expens,20
2017-05-11,NANDOS HOLBORN,10085250,Subsis incidental personal expens,17.9
2017-05-11,EAT,10085250,Subsis incidental personal expens,4.24
2017-05-12,EAT 1539,10085250,Subsis incidental personal expens,6.98
2017-05-12,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
2017-05-12,PRET A MANGER,10085250,Subsis incidental personal expens,6.99
2017-05-15,WWW.BELFASTAIRPORT.COM,10085250,Subsis incidental personal expens,18.99
2017-05-16,EAT,10085250,Subsis incidental personal expens,3.99
2017-05-16,NEW SOUTHERN RAILW,10085250,Subsis incidental personal expens,15.7
