TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-05-01,WWW.STAGEONE.CO.UK,3598.56,7172727688
2020-05-01,WWW.ALLIESCOMPUTING.CO,984.00,7173418138
2020-05-03,AWS EMEA,888.04,7173418108
2020-05-05,WWW.NISBETS.COM,2494.80,7177096370
2020-05-07,WWW.IFST.ORG,1692.00,9068655453
2020-05-19,SCREWFIX DIRECT,1224.51,9087223423
2020-05-20,SOCIALDISTANCING,2691.68,9089285837
2020-05-22,CONSTRUCTION SITE SUPP,6906.50,7184096916
2020-05-27,TAMESIDE METROPOLITAN,731.14,7190580618
2020-05-28,LEACH S,1212.60,7192282118
2020-05-28,SP   CREATIVE GROUP,1499.40,7192282116
