TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2016-11-10,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,6.6
2016-11-15,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.79
2016-11-23,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.89
2016-11-24,MCDONALDS,10085150,EXP - PURCHASE OF GOODS/SERVICES - SUBSISTENCE,4.99
2016-11-24,SEVERN RIVER CROSSIN P,10085150,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,6.6
2016-11-28,POST OFFICE COUNTER,10085150,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,9.6
2016-11-04,LASTPASS.COM,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,118.58
2016-11-06,CRAZY EGG.COM,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,487.16
2016-11-18,VENNGAGE.COM,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,124.94
2016-11-20,CLOUDFLARE,10085250,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,165.91
2016-11-03,RYANAIR,10085370,EXP - PURCHASE OF GOODS/SERVICES - AIR TRAVEL,110
2016-11-04,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,3.9
2016-11-08,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,44.5
2016-11-09,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-09,ROYAL MAIL PRE-PAY,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,100
2016-11-10,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-11,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,17.75
2016-11-11,REALLY USEFUL PROD,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,7.55
2016-11-11,WWW.THEGROCER.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PUBLICATIONS,116.4
2016-11-12,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-12,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-12,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-15,WWW.FLSUK.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,138.9
2016-11-15,WWW.FLSUK.CO.UK,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,124.8
2016-11-16,MR J OLDROYD CAFE LUCA,10085370,EXP - PURCHASE OF GOODS/SERVICES - CATERING & HOSPITALITY,595
2016-11-18,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-19,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-22,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-25,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-26,AMAZON UK MARKETPLACE,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,9.98
2016-11-27,OYSTER AUTOTOPUP,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER TRAVEL,20
2016-11-30,INTERNATIONAL SCIENTIF,10085370,EXP - PURCHASE OF GOODS/SERVICES - OTHER,335.4
