TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2019-11-01,EXPRESSO CATERING,936,6681000416
2019-11-03,AWS EMEA,912.87,6681000406
2019-11-04,THE BRITISH TOXICOLOGY,750,6687650434
2019-11-08,CHARTERED INSTITUTE OF,1200,6712288440
2019-11-08,HILTON INTERNATIONAL,912.75,6712288430
2019-11-10,AMZNMKTPLACE AMAZON.CO,599.8,6712288436
2019-11-11,LIVEGROUP.CO.UK,594,6719263676
2019-11-11,AMZNMKTPLACE,599.8,6712288438
2019-11-13,ENERGIA,598.14,6729401870
2019-11-14,LIVEGROUP.CO.UK,594,6735413386
2019-11-14,AMZNMKTPLACE,666.18,6735809924
2019-11-15,BRITISH DYSLEXIA ASSOC,720,6744017008
2019-11-15,LLOYDS REGISTER,2100,6743493910
2019-11-19,WWW.WESTMINSTER-BRIEFI,1500,6755950430
2019-11-22,LIVEGROUP.CO.UK,594,6776031240
2019-11-26,PAYPAL  LEADERSHIPT,1137.8,6788080810
