TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2017-10-03,EB  ULTIMATE PR TRAINI,10085250,Staff training: Region & HQ Admin,366.98
2017-10-03,TIMES NEWSPAPERS LTD,10085250,Subscriptions to pro bodies,26
2017-10-11,THE CHARTERED INSTITUT,10085250,Staff training: Region & HQ Admin,4044
2017-10-12,PAYATRADER,10085250,Conference & meeting facilities,494.4
2017-10-12,PIKTOCHART,10085250,Subscriptions to pro bodies,22.74
2017-10-16,WWW.EAZY-PRINT.COM,10085250,Conference & meeting facilities,53.76
2017-10-20,WWW.EAZY-PRINT.COM,10085250,Conference & meeting facilities,54
2017-10-20,WWW.EAZY-PRINT.COM,10085250,Conference & meeting facilities,208.8
2017-10-20,WWW.EAZY-PRINT.COM,10085250,Conference & meeting facilities,54
2017-10-03,MARKS&SPENCER PLC SACA,10085150,Subsis day time meal allowance,4.15
2017-10-03,NORTHAMPTON BOROUGH CO,10085150,Travel UK Other Travel,3.2
2017-10-03,NORTHAMPTON BOROUGH CO,10085150,Travel UK Other Travel,1
2017-10-17,POST OFFICE COUNTER,10085150,Postal Charges,3.62
2017-10-18,MCDONALDS,10085150,Subsis day time meal allowance,4.99
2017-10-19,JOHN LEWIS,10085150,IT equipment maintenance,27.99
2017-10-02,AGILE ON THE BEACH,10085545,Staff training: Region & HQ Admin,457.8
2017-10-20,CLOUDFLARE,10085545,Project Programme Expenditure,157.3
2017-10-28,ATLASSIAN,10085545,Project Programme Expenditure,7.88
2017-10-03,POST OFFICE COUNTER,10085150,Postal Charges,18.48
2017-10-04,POST OFFICE COUNTER,10085150,Postal Charges,3.5
2017-10-06,POST OFFICE COUNTER,10085150,Postal Charges,1.75
2017-10-07,AMAZON EU,10085150,Printing & binding,26.18
2017-10-11,POST OFFICE COUNTER,10085150,Postal Charges,1.3
2017-10-18,POST OFFICE COUNTER,10085150,Postal Charges,5.5
2017-10-23,POST OFFICE COUNTER,10085150,Postal Charges,5.5
2017-10-28,POST OFFICE COUNTER,10085150,Postal Charges,4.9
2017-10-28,MERCURE MAIDSTONE,10085150,Subsistence 24 hour subsistence,25
2017-10-03,CHILLIES,10085150,Subsistence 24 hour subsistence,20.35
2017-10-16,POST OFFICE COUNTER,10085150,Postal Charges,7.8
2017-10-23,CHILLIES,10085150,Subsistence 24 hour subsistence,24.55
2017-10-26,POST OFFICE COUNTER,10085150,Postal Charges,3.9
2017-10-17,WIFI TRAVELODGE  WI,10085211,Utilities,9
2017-10-19,GOURMET BURGER KIT,10085211,Subsistence - Hospitality,37.15
2017-10-27,PUMPKIN CAFE,10085211,Subsis day time meal allowance,4.24
2017-10-03,SWOON EDITIONS,10085250,Subsis incidental personal expens,299
2017-10-06,AMAZON UK MARKETPLACE,10085250,Subsis incidental personal expens,97.74
2017-10-04,NORDIC HOTELS FORUM RE,10085410,Actual Bed and breakfast costs,247.65
2017-10-15,GO METRO GARE DU MIDI,10085410,Travel UK Other Travel,12.87
2017-10-17,GOLDEN TULIP HOTELS,10085410,Actual Bed and breakfast costs,350.96
2017-10-17,LUNA JOANNA,10085410,Subsis day time meal allowance,11.3
2017-10-17,CHICKEN SHOP HOLBORN,10085820,Subsistence 24 hour subsistence,41.31
2017-10-18,BILLS COVENT GARDEN,10085820,Subsistence 24 hour subsistence,24
2017-10-19,JAMIES ITALIAN,10085820,Subsistence 24 hour subsistence,20
2017-10-30,OYSTER RENEW WEB,10085820,Travel UK Taxi/Bus/Tube,30
2017-10-31,HOLIDAY INN LONDON WEM,10085820,Subsistence 24 hour subsistence,17.55
2017-10-09,ED'S EASY DINER,10085370,Subsistence 24 hour subsistence,31.19
2017-10-10,THE GO DOWN,10085370,Subsistence 24 hour subsistence,72.6
2017-10-23,CITIZEN&IMM-EAPPS ENLI,10085370,Subsistence 24 hour subsistence,4.33
2017-10-04,IANSYST LTD,10085510,IT Software Licences,143.94
2017-10-09,CUSTOMER THERMOMETER,10085510,Incidental expenses,20.55
2017-10-12,PAYPAL  CLUEQUESTLT,10085510,Staff training: Region & HQ Admin,90
2017-10-14,OYSTER AUTOTOPUP,10085510,Travel UK Taxi/Bus/Tube,20
2017-10-30,CUSTOMER THERMOMETER,10085510,Incidental expenses,34.59
2017-10-31,EB  COMMUNICATING WITH,10085510,Staff training: Region & HQ Admin,195
2017-10-02,GOOGLE  SVCSAPPS_FSA-E,10085541,IT Software Licences,62.7
2017-10-16,WWW.BOOKINGBUG.COM,10085541,IT Software Licences,1
2017-10-16,WWW.BOOKINGBUG.COM,10085541,IT Software Licences,-1
2017-10-25,MSFT  <E04004LP12>,10085541,IT Software Licences,358.56
2017-10-27,WWW.BOOKINGBUG.COM,10085541,IT Software Licences,59.94
2017-10-31,ZOHO CORPORATION,10085541,IT Software Licences,1400.72
2017-10-03,SALTAIRE BAR,10085820,Subsistence 24 hour subsistence,123.15
2017-10-03,SALTAIRE BAR,10085820,Subsistence 24 hour subsistence,10.3
2017-10-06,WWW.THEIRM.ORG,10085820,Staff training: Region & HQ Admin,995
2017-10-10,NITHCO,10085820,Travel UK Other Travel,5
2017-10-10,NITHCO,10085820,Travel UK Other Travel,5
2017-10-24,SURESKILLS LTD,10085820,Staff training: Region & HQ Admin,234
2017-10-31,EB  CIPD NI EMPLOYMENT,10085820,Staff training: Region & HQ Admin,108
2017-10-02,PP XC TRAINS CATERING,10085721,Subsis day time meal allowance,5.5
2017-10-03,SAINSBURYS SACAT 4424,10085721,Subsis day time meal allowance,5.45
2017-10-03,STARBUCKS,10085721,Subsis day time meal allowance,2.65
2017-10-05,SURVEYMONKEY.COM,10085721,Project Programme Expenditure,24
2017-10-05,THE CHARTERED INSTITUT,10085721,Subscriptions to pro bodies,235
2017-10-08,SUK RETAIL LTD,10085721,Computer Consumables,51.98
2017-10-28,IKEA LIMITED,10085721,Furniture fittings & misc supply,34
2017-10-25,OYSTER AUTOTOPUP,10085346,Travel UK Taxi/Bus/Tube,20
2017-10-17,IET SERVICES LTD,10085332,Conference & meeting facilities,144
2017-10-30,COSTCO.CO.UK,10085332,Furniture fittings & misc supply,169.99
2017-10-30,COSTCO.CO.UK,10085332,Furniture fittings & misc supply,169.99
2017-10-02,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-10-09,CUSTOMER THERMOMETER,10085520,Incidental expenses,20.55
2017-10-10,SHL GROUP LTD,10085520,Recruitment & advertising charges,480
2017-10-11,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-10-11,SHL GROUP LTD,10085520,Recruitment & advertising charges,240
2017-10-16,INDEPENDENT NEWS & MED,10085520,Recruitment & advertising charges,831.74
2017-10-30,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-10-31,SHL GROUP LTD,10085520,Recruitment & advertising charges,840
2017-10-31,DISCLOSURE SCOT,10085520,Recruitment & advertising charges,25
2017-10-04,NCP LIMITED,10085330,Travel UK Taxi/Bus/Tube,15.5
2017-10-19,CITYFLEET/COMCAB,10085330,Travel UK Taxi/Bus/Tube,4.6
2017-10-31,CARTRIDGEPEOPLE.COM,10085330,Stationery,52.97
2017-10-08,IRECTIFY,10085510,Mobile Phones,65
2017-10-16,LEEDS TAXI OWNERS LTD,10085510,Travel UK Taxi/Bus/Tube,40.92
2017-10-23,SPAGHETTI HOUSE SICILI,10085510,Hospitality,196.75
2017-10-26,INNERSPACE STATIONS LT,10085510,Archiving - Storage & Dist,106
2017-10-26,INNERSPACE STATIONS LT,10085510,Archiving - Storage & Dist,294
2017-10-27,LEEDS TAXI OWNERS LTD,10085510,Travel UK Taxi/Bus/Tube,40.92
2017-10-12,SERCO EPC,10085347,Staff training: Corp Strategy,450
2017-10-31,FIRST/KEOLIS TRANS,10085347,Rail Travel,140.7
2017-10-02,CHARTERED INSTITUTE OF,10085550,Staff training: Region & HQ Admin,120
2017-10-05,CHARTERED INSTITUTE OF,10085550,Staff training: Region & HQ Admin,60
2017-10-02,PRET A MANGER,10085820,Subsis day time meal allowance,4.64
2017-10-03,SUBWAY,10085820,Subsistence 24 hour subsistence,5
2017-10-04,ITSU 077 HEATHROW T5,10085820,Subsistence 24 hour subsistence,10.95
2017-10-04,SAINSBURYS SACAT 2019,10085820,Subsis day time meal allowance,5.25
2017-10-10,ITSU 020 GRT QUEEN ST,10085820,Subsistence 24 hour subsistence,15.44
2017-10-11,TESCO STORES 6518,10085820,Subsistence 24 hour subsistence,6.39
2017-10-11,SAINSBURYS SACAT 2019,10085820,Subsis day time meal allowance,4.8
2017-10-11,BOOTS 1521,10085820,Subsis day time meal allowance,4.54
2017-10-12,CAMDEN FOOD COMPAN,10085820,Subsistence 24 hour subsistence,6.38
2017-10-24,BOOTS 1521,10085820,Subsis day time meal allowance,4.64
2017-10-24,ITSU 020 GRT QUEEN ST,10085820,Subsistence 24 hour subsistence,14.74
2017-10-25,BOOTS 1521,10085820,Subsis day time meal allowance,4.98
2017-10-25,PRET A MANGER,10085820,Subsistence 24 hour subsistence,5.55
2017-10-25,SAINSBURYS SACAT 2019,10085820,Subsis day time meal allowance,3.75
2017-10-25,THE FARMERS CLUB,10085820,Subsistence Lodging allowance,123
2017-10-07,OYSTER AUTOTOPUP,10085120,Travel UK Taxi/Bus/Tube,20
2017-10-20,OYSTER BUS AUTOTOP,10085120,Travel UK Taxi/Bus/Tube,20
2017-10-27,OYSTER BUS AUTOTOP,10085120,Travel UK Taxi/Bus/Tube,20
2017-10-28,OYSTER AUTOTOPUP,10085120,Travel UK Taxi/Bus/Tube,20
2017-10-30,APPLE STORE R245,10085541,Computer Consumables,98
2017-10-01,GO METRO GARE DU MIDI,10085211,"Taxi, Bus, Tube",4.1
2017-10-01,GO METRO GARE DU MIDI,10085211,"Taxi, Bus, Tube",1.91
2017-10-01,CAFFE NERO 359 EUROSTA,10085211,Subsistence 24 hour subsistence,2.6
2017-10-02,GRABFLY  PIER B,10085211,EC 24 Hour Subsistance,6.34
2017-10-02,SELF L 130,10085211,EC 24 Hour Subsistance,6.91
2017-10-19,IBM UK LIMITED,10085211,Subsis day time meal allowance,6.16
2017-10-20,IBM UK LIMITED,10085211,Subsis day time meal allowance,1
2017-10-26,WH SMITH TRAVEL,10085411,Subsistence 24 hour subsistence,4.99
2017-10-19,FP LTD,10085543,Other Accommodation Costs,494
2017-10-19,ROYAL MAIL GROUP,10085543,Postal Charges,318
2017-10-23,EDF ENERGY-CUST' F,10085543,Utilities,716.4
2017-10-11,LOTUS CHINESE REST,10085722,Subsistence 24 hour subsistence,50
2017-10-25,ISO/CS,10085722,Other services,108.8
2017-10-08,AMAZON UK RETAIL AMAZO,10085721,Computer Hardware/Software,64.05
2017-10-09,LISVANE STORES,10085721,Other services,34.65
2017-10-10,CREIGIAU TRAVEL LIMITE,10085721,Committee Costs,154.5
2017-10-13,WWW.NEOPOST.CO.UK,10085721,Office machinery: maintenance,178.32
2017-10-01,POSTERN GATE,10085332,Subsistence 24 hour subsistence,12.24
2017-10-01,TESCO STORES 5726,10085332,Subsistence 24 hour subsistence,5.5
2017-10-01,UPPER CRUST TROLLEY,10085332,Subsistence 24 hour subsistence,3.25
2017-10-02,BURGER KING,10085332,Subsistence 24 hour subsistence,6.69
2017-10-03,KFC,10085332,Subsis day time meal allowance,14.68
2017-10-05,SOC OF CHEM IND/IN,10085332,Staff training: Region & HQ Admin,80
2017-10-11,WWW.RELISH.NET,10085332,Telecoms networks & call charges,60
2017-10-13,CIEH,10085332,Staff training: Region & HQ Admin,133
2017-10-11,TRANSLINK WEB PAYMENTS,10085820,Rail Travel,17.5
2017-10-26,WWW.CIMAGLOBAL.COM,10085820,Subscriptions to pro bodies,278
2017-10-16,CIPFA FINANCE,10085820,Staff training: Corp Strategy,1740
2017-10-23,BELFAST CROWN.,10085820,Legal expenses - FSA,77
2017-10-31,TESCO STORE 3486,10085820,Other Accommodation Costs,6.3
2017-10-01,PES FOODFRAUDBEIJING,10085340,Actual Bed and breakfast costs,732.16
2017-10-12,3119 ARAMARK CAFE,10085340,Subsistence - Hospitality,4.1
2017-10-19,PHOTO ME INTERNATIONAL,10085340,Other services,8
2017-10-29,TAWOLA,10085340,Subsistence - Hospitality,114.33
2017-10-04,L ESPRIT DE SEL,10085412,EC 24 Hour Subsistance,52.56
2017-10-01,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-01,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-05,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-06,AMAZON EU,10085370,Furniture fittings & misc supply,81.35
2017-10-06,AMAZON EU,10085370,Computer Consumables,7.15
2017-10-10,DETECTAMET LTD,10085370,Meat inspection equip/consumables,294.9
2017-10-10,WWW.OFFICESTATIONERY.,10085370,Carriage of samples,30.29
2017-10-11,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-11,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-13,AMAZON UK MARKETPLACE,10085370,Other services,8.35
2017-10-13,OYSTER AUTOTOPUP,10085370,Travel UK Other Travel,20
2017-10-14,AMAZON UK PRIME AMZN.C,10085370,Other services,7.99
2017-10-14,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-16,AMAZON UK MARKETPLACE,10085370,Meat inspection equip/consumables,2.83
2017-10-18,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-19,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-19,OYSTER AUTOTOPUP,10085370,Travel UK Taxi/Bus/Tube,20
2017-10-19,ROYAL MAIL PRE-PAY,10085370,Stationery,100
2017-10-19,ROYAL MAIL PRE-PAY,10085370,Stationery,50
2017-10-20,AMAZON SVCS EU-UK AMAZ,10085370,Meat inspection equip/consumables,7.5
