TransactionDate,MerchantName,CostCode,ExpenseType,TransactionAmount
2018-10-22,IDC BAND,10085250,Conference & meeting facilities,733.2
2018-10-30,EB  THE GUARDIAN PUBLI,10085820,Incidental expenses,625.8
2018-10-11,APS GROUP.CO.UK,10085445,"Stationery, Equipment, Supplies",615
2018-10-09,KCL FINANCE ONLINE,10085520,Staff training: Region & HQ Admin,2500
2018-10-11,CIVIL SERVICE LEARNING,10085520,Staff training: Region & HQ Admin,565.4
2018-10-11,OFF LIMITS GROUP,10085520,Staff training: Region & HQ Admin,2700
2018-10-22,UK TRAINING SERVICES,10085520,Staff training: Region & HQ Admin,1800
2018-10-22,WWW.PMGLTD.CO.UK,10085520,Staff training: Region & HQ Admin,1068
2018-10-30,CHARTERED INSTITUTE OF,10085332,Conference & meeting facilities,1200
2018-10-25,ASSET MANAGEMENT(IRELA,10085820,Other Accommodation Costs,856.92
2018-10-15,ENERGIA,10085820,Other Accommodation Costs,579.49
2018-10-04,NATIONAL WINDSCREENS,10085350,Lease car insurance,1087.55
2018-10-23,J J'S,10085721,Project Programme Expenditure,832.41
2018-10-29,LIVEGROUP.CO.UK,10085510,Staff training: Region & HQ Admin,546
2018-10-15,INFRAGISTICS.COM,10085541,Computer Hardware/Software,1773.6
2018-10-23,WWW.WESTMINSTER-BRIEFI,10085820,Staff training: Region & HQ Admin,588
2018-10-17,ST ERMIN'S HOTEL,10085150,Conference & meeting facilities,850
