TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-10-03,AWS EMEA,834.23,7354543810
2020-10-05,BRITISH DYSLEXIA ASSOC,540.00,9206621791
2020-10-09,TRAVIS-CI.COM,716.22,9220054515
2020-10-12,EEF LTD,1696.92,9222734819
2020-10-12,INNER SPACE STATIONS L,725.99,9222734811
2020-10-13,LEACH S,1798.00,9226134889
2020-10-14,IBISWORLD LTD,594.00,9228159229
2020-10-16,MR J OLDROYD CAFE LUCA,2900.00,9236000451
2020-10-20,CAPITA BUSINESS SERVS,2021.76,9241700641
2020-10-20,WWW.ALLIESCOMPUTING.CO,996.00,9241700615
2020-10-23,LSR TRAINING AND DEVEL,1656.00,9252673337
2020-10-23,PAYPAL  CAMPDENBRIC,816.00,9252673335
2020-10-27,WWW.PUBLICPOLICYEXCHAN,534.00,9258883085
2020-10-28,CAPITA BUSINESS SERVS,2578.68,9263363715
