TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
2020-09-01,W DISPLAY,1677.83,7304395630
2020-09-03,AWS EMEA,847.38,7311044852
2020-09-08,BMJ PUBLISHING GROUP,1562.4,9181249757
2020-09-10,TAMESIDE METROPOLITAN,749.5,9187462535
2020-09-11,ACT NOW TRAINING LIMIT,2394,9192149729
2020-09-14,BELFAST TELEGRAPH,840,9194799717
2020-09-16,PAYPAL  INVESTIGATO,718.78,7317799552
2020-09-20,SURVEYMONKEY,1056,7320020988
2020-09-21,PP VERCIDALIMI,1500,7323169884
2020-09-24,LLOYDS REGISTER,1902,7332477478
